[2021-04-30T09:22:49.152+0300][0.002s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2021-04-30T09:22:49.168+0300][0.017s][info][gc] Using Shenandoah
[2021-04-30T09:22:50.224+0300][1,074s][info][gc] Trigger: Free (12941K) is below minimum threshold (13107K)
[2021-04-30T09:22:50.225+0300][1,074s][info][gc] GC(5) Concurrent reset 0,109ms
[2021-04-30T09:22:50.225+0300][1,074s][info][gc] GC(5) Pause Init Mark (process weakrefs) 0,190ms
[2021-04-30T09:22:50.236+0300][1,085s][info][gc] GC(5) Concurrent marking (process weakrefs) 9,526ms
[2021-04-30T09:22:50.236+0300][1,085s][info][gc] GC(5) Concurrent precleaning 0,066ms
[2021-04-30T09:22:50.237+0300][1,086s][info][gc] GC(5) Pause Final Mark (process weakrefs) 1,139ms
[2021-04-30T09:22:50.237+0300][1,086s][info][gc] GC(5) Concurrent cleanup 109M->109M(128M) 0,045ms
[2021-04-30T09:22:50.239+0300][1,089s][info][gc] GC(5) Concurrent evacuation 2,128ms
[2021-04-30T09:22:50.239+0300][1,089s][info][gc] GC(5) Pause Init Update Refs 0,008ms
[2021-04-30T09:22:50.242+0300][1,091s][info][gc] GC(5) Concurrent update references 2,475ms
[2021-04-30T09:22:50.242+0300][1,092s][info][gc] GC(5) Pause Final Update Refs 0,111ms
[2021-04-30T09:22:50.242+0300][1,092s][info][gc] GC(5) Concurrent cleanup 112M->8M(128M) 0,073ms
[2021-04-30T09:22:50.416+0300][1,266s][info][gc] Trigger: Free (13056K) is below minimum threshold (13107K)
[2021-04-30T09:22:50.417+0300][1,266s][info][gc] GC(6) Concurrent reset 0,226ms
[2021-04-30T09:22:50.424+0300][1,273s][info][gc] GC(6) Pause Init Mark 0,140ms
[2021-04-30T09:22:50.427+0300][1,276s][info][gc] GC(6) Concurrent marking 3,415ms
[2021-04-30T09:22:50.427+0300][1,277s][info][gc] GC(6) Pause Final Mark 0,318ms
[2021-04-30T09:22:50.428+0300][1,277s][info][gc] GC(6) Concurrent cleanup 113M->113M(128M) 0,038ms
[2021-04-30T09:22:50.429+0300][1,278s][info][gc] GC(6) Concurrent evacuation 1,346ms
[2021-04-30T09:22:50.429+0300][1,278s][info][gc] GC(6) Pause Init Update Refs 0,006ms
[2021-04-30T09:22:50.431+0300][1,281s][info][gc] GC(6) Concurrent update references 2,268ms
[2021-04-30T09:22:50.432+0300][1,281s][info][gc] GC(6) Pause Final Update Refs 0,057ms
[2021-04-30T09:22:50.432+0300][1,281s][info][gc] GC(6) Concurrent cleanup 116M->9M(128M) 0,071ms
[2021-04-30T09:22:50.592+0300][1,441s][info][gc] Trigger: Average GC time (12,33 ms) is above the time for allocation rate (594 MB/s) to deplete free headroom (7014K)
[2021-04-30T09:22:50.592+0300][1,441s][info][gc] GC(7) Concurrent reset 0,137ms
[2021-04-30T09:22:50.592+0300][1,442s][info][gc] GC(7) Pause Init Mark 0,150ms
[2021-04-30T09:22:50.596+0300][1,445s][info][gc] GC(7) Concurrent marking 3,300ms
