[2021-04-30T09:34:57.960+0300][0.016s][debug][gc] ConcGCThreads: 2
[2021-04-30T09:34:57.960+0300][0.016s][debug][gc] ParallelGCThreads: 8
[2021-04-30T09:34:57.960+0300][0.016s][info ][gc] Using Concurrent Mark Sweep
[2021-04-30T09:35:01.488+0300][3,544s][info ][gc] GC(46) Pause Young (Allocation Failure) 63M->30M(123M) 2,139ms
[2021-04-30T09:35:01.547+0300][3,603s][info ][gc] GC(47) Pause Young (Allocation Failure) 64M->30M(123M) 2,147ms
[2021-04-30T09:35:01.601+0300][3,657s][info ][gc] GC(48) Pause Young (Allocation Failure) 64M->31M(123M) 1,983ms
[2021-04-30T09:35:01.679+0300][3,736s][info ][gc] GC(49) Pause Young (Allocation Failure) 65M->31M(123M) 2,103ms
[2021-04-30T09:35:01.747+0300][3,803s][info ][gc] GC(50) Pause Young (Allocation Failure) 66M->32M(123M) 1,686ms
[2021-04-30T09:35:01.808+0300][3,865s][info ][gc] GC(51) Pause Young (Allocation Failure) 66M->33M(123M) 2,103ms
[2021-04-30T09:35:01.865+0300][3,921s][info ][gc] GC(52) Pause Young (Allocation Failure) 67M->33M(123M) 1,844ms
[2021-04-30T09:35:01.913+0300][3,970s][info ][gc] GC(53) Pause Young (Allocation Failure) 67M->34M(123M) 1,732ms
[2021-04-30T09:35:01.966+0300][4,022s][info ][gc] GC(54) Pause Young (Allocation Failure) 68M->34M(123M) 1,742ms
[2021-04-30T09:35:02.018+0300][4,074s][info ][gc] GC(55) Pause Young (Allocation Failure) 68M->35M(123M) 2,668ms
[2021-04-30T09:35:02.074+0300][4,131s][info ][gc] GC(56) Pause Young (Allocation Failure) 69M->35M(123M) 1,608ms
[2021-04-30T09:35:02.124+0300][4,180s][info ][gc] GC(57) Pause Young (Allocation Failure) 69M->36M(123M) 1,357ms
[2021-04-30T09:35:02.172+0300][4,228s][info ][gc] GC(58) Pause Young (Allocation Failure) 70M->36M(123M) 1,291ms
[2021-04-30T09:35:02.223+0300][4,280s][info ][gc] GC(59) Pause Young (Allocation Failure) 71M->37M(123M) 1,486ms
[2021-04-30T09:35:02.274+0300][4,331s][info ][gc] GC(60) Pause Young (Allocation Failure) 71M->38M(123M) 1,654ms
[2021-04-30T09:35:02.328+0300][4,385s][info ][gc] GC(61) Pause Young (Allocation Failure) 72M->38M(123M) 1,766ms
[2021-04-30T09:35:02.383+0300][4,439s][info ][gc] GC(62) Pause Young (Allocation Failure) 72M->39M(123M) 1,630ms
[2021-04-30T09:35:02.434+0300][4,491s][info ][gc] GC(63) Pause Young (Allocation Failure) 73M->39M(123M) 1,871ms
[2021-04-30T09:35:02.486+0300][4,543s][info ][gc] GC(64) Pause Young (Allocation Failure) 73M->40M(123M) 1,679ms
[2021-04-30T09:35:02.540+0300][4,597s][info ][gc] GC(65) Pause Young (Allocation Failure) 74M->40M(123M) 1,562ms
[2021-04-30T09:35:02.593+0300][4,650s][info ][gc] GC(66) Pause Young (Allocation Failure) 74M->40M(123M) 1,576ms
[2021-04-30T09:35:02.645+0300][4,702s][info ][gc] GC(67) Pause Young (Allocation Failure) 74M->41M(123M) 1,785ms
[2021-04-30T09:35:02.695+0300][4,751s][info ][gc] GC(68) Pause Young (Allocation Failure) 75M->42M(123M) 1,911ms
[2021-04-30T09:35:02.746+0300][4,802s][info ][gc] GC(69) Pause Young (Allocation Failure) 76M->43M(123M) 1,813ms
[2021-04-30T09:35:02.795+0300][4,852s][info ][gc] GC(70) Pause Young (Allocation Failure) 77M->43M(123M) 2,094ms
[2021-04-30T09:35:02.849+0300][4,906s][info ][gc] GC(71) Pause Young (Allocation Failure) 78M->44M(123M) 1,699ms
[2021-04-30T09:35:02.904+0300][4,960s][info ][gc] GC(72) Pause Young (Allocation Failure) 78M->45M(123M) 2,953ms
[2021-04-30T09:35:02.977+0300][5,033s][info ][gc] GC(73) Pause Young (Allocation Failure) 79M->45M(123M) 2,105ms
[2021-04-30T09:35:03.035+0300][5,092s][info ][gc] GC(74) Pause Young (Allocation Failure) 79M->46M(123M) 1,711ms
[2021-04-30T09:35:03.036+0300][5,092s][info ][gc] GC(75) Pause Initial Mark 46M->46M(123M) 0,403ms
[2021-04-30T09:35:03.036+0300][5,093s][info ][gc] GC(75) Concurrent Mark
[2021-04-30T09:35:03.050+0300][5,107s][debug][gc] GC(75) Concurrent active time: 0,014ms
[2021-04-30T09:35:03.051+0300][5,107s][info ][gc] GC(75) Concurrent Mark 14,536ms
[2021-04-30T09:35:03.051+0300][5,107s][info ][gc] GC(75) Concurrent Preclean
[2021-04-30T09:35:03.051+0300][5,108s][debug][gc] GC(75) Concurrent active time: 0,000ms
[2021-04-30T09:35:03.051+0300][5,108s][info ][gc] GC(75) Concurrent Preclean 0,549ms
[2021-04-30T09:35:03.051+0300][5,108s][info ][gc] GC(75) Concurrent Abortable Preclean
[2021-04-30T09:35:03.095+0300][5,151s][info ][gc] GC(76) Pause Young (Allocation Failure) 80M->46M(123M) 1,841ms
[2021-04-30T09:35:03.147+0300][5,204s][info ][gc] GC(77) Pause Young (Allocation Failure) 80M->47M(123M) 1,639ms
[2021-04-30T09:35:03.199+0300][5,255s][info ][gc] GC(78) Pause Young (Allocation Failure) 81M->47M(123M) 1,770ms
[2021-04-30T09:35:03.253+0300][5,309s][info ][gc] GC(79) Pause Young (Allocation Failure) 81M->48M(123M) 2,258ms
[2021-04-30T09:35:03.305+0300][5,362s][info ][gc] GC(80) Pause Young (Allocation Failure) 82M->48M(123M) 1,673ms
[2021-04-30T09:35:03.355+0300][5,411s][info ][gc] GC(81) Pause Young (Allocation Failure) 83M->49M(123M) 1,624ms
[2021-04-30T09:35:03.407+0300][5,463s][info ][gc] GC(82) Pause Young (Allocation Failure) 83M->49M(123M) 1,499ms
[2021-04-30T09:35:03.453+0300][5,509s][info ][gc] GC(83) Pause Young (Allocation Failure) 84M->50M(123M) 1,490ms
[2021-04-30T09:35:03.501+0300][5,558s][info ][gc] GC(84) Pause Young (Allocation Failure) 84M->51M(123M) 2,808ms
[2021-04-30T09:35:03.554+0300][5,610s][info ][gc] GC(85) Pause Young (Allocation Failure) 85M->51M(123M) 1,671ms
[2021-04-30T09:35:03.605+0300][5,661s][info ][gc] GC(86) Pause Young (Allocation Failure) 85M->52M(123M) 1,551ms
[2021-04-30T09:35:03.657+0300][5,714s][info ][gc] GC(87) Pause Young (Allocation Failure) 86M->52M(123M) 1,476ms
[2021-04-30T09:35:03.704+0300][5,761s][info ][gc] GC(88) Pause Young (Allocation Failure) 86M->53M(123M) 1,461ms
[2021-04-30T09:35:03.750+0300][5,807s][info ][gc] GC(89) Pause Young (Allocation Failure) 87M->53M(123M) 1,193ms
[2021-04-30T09:35:03.973+0300][6,030s][info ][gc] GC(90) Pause Young (Allocation Failure) 87M->53M(123M) 1,167ms
[2021-04-30T09:35:04.021+0300][6,078s][info ][gc] GC(91) Pause Young (Allocation Failure) 87M->53M(123M) 1,169ms
[2021-04-30T09:35:04.071+0300][6,128s][info ][gc] GC(92) Pause Young (Allocation Failure) 87M->53M(123M) 1,342ms
[2021-04-30T09:35:04.118+0300][6,175s][info ][gc] GC(93) Pause Young (Allocation Failure) 87M->54M(123M) 1,682ms
[2021-04-30T09:35:04.167+0300][6,223s][info ][gc] GC(94) Pause Young (Allocation Failure) 88M->55M(123M) 1,742ms
[2021-04-30T09:35:04.234+0300][6,290s][info ][gc] GC(95) Pause Young (Allocation Failure) 89M->56M(123M) 2,037ms
[2021-04-30T09:35:04.285+0300][6,341s][info ][gc] GC(96) Pause Young (Allocation Failure) 90M->56M(123M) 1,758ms
[2021-04-30T09:35:04.334+0300][6,391s][info ][gc] GC(97) Pause Young (Allocation Failure) 90M->56M(123M) 1,602ms
[2021-04-30T09:35:04.381+0300][6,437s][info ][gc] GC(98) Pause Young (Allocation Failure) 90M->57M(123M) 1,548ms
[2021-04-30T09:35:04.429+0300][6,485s][info ][gc] GC(99) Pause Young (Allocation Failure) 91M->58M(123M) 2,028ms
[2021-04-30T09:35:04.478+0300][6,534s][info ][gc] GC(100) Pause Young (Allocation Failure) 92M->58M(123M) 1,521ms
[2021-04-30T09:35:04.528+0300][6,585s][info ][gc] GC(101) Pause Young (Allocation Failure) 92M->59M(123M) 1,782ms
[2021-04-30T09:35:04.580+0300][6,637s][info ][gc] GC(102) Pause Young (Allocation Failure) 93M->59M(123M) 1,679ms
[2021-04-30T09:35:04.630+0300][6,687s][info ][gc] GC(103) Pause Young (Allocation Failure) 93M->60M(123M) 1,773ms
[2021-04-30T09:35:04.679+0300][6,735s][info ][gc] GC(104) Pause Young (Allocation Failure) 94M->60M(123M) 1,655ms
[2021-04-30T09:35:04.731+0300][6,788s][info ][gc] GC(105) Pause Young (Allocation Failure) 95M->61M(123M) 1,665ms
[2021-04-30T09:35:04.780+0300][6,836s][info ][gc] GC(106) Pause Young (Allocation Failure) 95M->62M(123M) 1,697ms
[2021-04-30T09:35:04.838+0300][6,894s][info ][gc] GC(107) Pause Young (Allocation Failure) 96M->62M(123M) 1,719ms
[2021-04-30T09:35:04.893+0300][6,950s][info ][gc] GC(108) Pause Young (Allocation Failure) 96M->63M(123M) 1,706ms
[2021-04-30T09:35:04.951+0300][7,008s][info ][gc] GC(109) Pause Young (Allocation Failure) 97M->63M(123M) 1,772ms
[2021-04-30T09:35:04.951+0300][7,008s][debug][gc] GC(75) Concurrent active time: 0,192ms
[2021-04-30T09:35:04.951+0300][7,008s][info ][gc] GC(75) Concurrent Abortable Preclean 1900,207ms
[2021-04-30T09:35:04.951+0300][7,008s][debug][gc] GC(75) YG occupancy: 4084 K (39296 K)
[2021-04-30T09:35:04.954+0300][7,010s][info ][gc] GC(75) Pause Remark 64M->64M(123M) 2,182ms
[2021-04-30T09:35:04.954+0300][7,010s][info ][gc] GC(75) Concurrent Sweep
[2021-04-30T09:35:04.963+0300][7,019s][debug][gc] GC(75) Concurrent active time: 0,009ms
[2021-04-30T09:35:04.963+0300][7,019s][info ][gc] GC(75) Concurrent Sweep 9,121ms
[2021-04-30T09:35:04.963+0300][7,019s][info ][gc] GC(75) Concurrent Reset
[2021-04-30T09:35:04.963+0300][7,020s][debug][gc] GC(75) Concurrent active time: 0,000ms
[2021-04-30T09:35:04.963+0300][7,020s][info ][gc] GC(75) Concurrent Reset 0,516ms
[2021-04-30T09:35:05.006+0300][7,063s][info ][gc] GC(110) Pause Young (Allocation Failure) 97M->63M(123M) 1,200ms
[2021-04-30T09:35:05.055+0300][7,111s][info ][gc] GC(111) Pause Young (Allocation Failure) 97M->64M(123M) 1,365ms
[2021-04-30T09:35:05.106+0300][7,162s][info ][gc] GC(112) Pause Young (Allocation Failure) 98M->64M(123M) 1,424ms
[2021-04-30T09:35:05.158+0300][7,215s][info ][gc] GC(113) Pause Young (Allocation Failure) 98M->65M(123M) 1,772ms
[2021-04-30T09:35:05.159+0300][7,215s][info ][gc] GC(114) Pause Initial Mark 65M->65M(123M) 0,471ms
[2021-04-30T09:35:05.159+0300][7,215s][info ][gc] GC(114) Concurrent Mark
[2021-04-30T09:35:05.176+0300][7,233s][debug][gc] GC(114) Concurrent active time: 0,017ms
[2021-04-30T09:35:05.176+0300][7,233s][info ][gc] GC(114) Concurrent Mark 17,252ms
[2021-04-30T09:35:05.176+0300][7,233s][info ][gc] GC(114) Concurrent Preclean
[2021-04-30T09:35:05.177+0300][7,233s][debug][gc] GC(114) Concurrent active time: 0,000ms
[2021-04-30T09:35:05.177+0300][7,233s][info ][gc] GC(114) Concurrent Preclean 0,442ms
[2021-04-30T09:35:05.177+0300][7,233s][info ][gc] GC(114) Concurrent Abortable Preclean
[2021-04-30T09:35:05.213+0300][7,269s][info ][gc] GC(115) Pause Young (Allocation Failure) 99M->65M(123M) 1,752ms
[2021-04-30T09:35:05.264+0300][7,321s][info ][gc] GC(116) Pause Young (Allocation Failure) 99M->66M(123M) 1,628ms
[2021-04-30T09:35:05.312+0300][7,368s][info ][gc] GC(117) Pause Young (Allocation Failure) 100M->66M(123M) 1,891ms
[2021-04-30T09:35:05.362+0300][7,418s][info ][gc] GC(118) Pause Young (Allocation Failure) 100M->67M(123M) 1,683ms
[2021-04-30T09:35:05.411+0300][7,467s][info ][gc] GC(119) Pause Young (Allocation Failure) 101M->68M(123M) 1,939ms
[2021-04-30T09:35:05.463+0300][7,519s][info ][gc] GC(120) Pause Young (Allocation Failure) 103M->69M(123M) 2,013ms
[2021-04-30T09:35:05.514+0300][7,570s][info ][gc] GC(121) Pause Young (Allocation Failure) 103M->69M(123M) 1,684ms
[2021-04-30T09:35:05.561+0300][7,618s][info ][gc] GC(122) Pause Young (Allocation Failure) 103M->69M(123M) 1,996ms
[2021-04-30T09:35:05.609+0300][7,665s][info ][gc] GC(123) Pause Young (Allocation Failure) 103M->70M(123M) 1,680ms
[2021-04-30T09:35:05.658+0300][7,715s][info ][gc] GC(124) Pause Young (Allocation Failure) 104M->71M(123M) 1,670ms
[2021-04-30T09:35:05.708+0300][7,765s][info ][gc] GC(125) Pause Young (Allocation Failure) 105M->71M(123M) 1,845ms
[2021-04-30T09:35:05.760+0300][7,816s][info ][gc] GC(126) Pause Young (Allocation Failure) 105M->72M(123M) 1,643ms
[2021-04-30T09:35:05.812+0300][7,868s][info ][gc] GC(127) Pause Young (Allocation Failure) 106M->72M(123M) 1,701ms
[2021-04-30T09:35:05.864+0300][7,920s][info ][gc] GC(128) Pause Young (Allocation Failure) 107M->73M(123M) 1,721ms
[2021-04-30T09:35:05.919+0300][7,976s][info ][gc] GC(129) Pause Young (Allocation Failure) 107M->74M(123M) 3,037ms
[2021-04-30T09:35:05.982+0300][8,038s][info ][gc] GC(130) Pause Young (Allocation Failure) 108M->74M(123M) 1,680ms
[2021-04-30T09:35:06.033+0300][8,089s][info ][gc] GC(131) Pause Young (Allocation Failure) 108M->75M(123M) 1,766ms
[2021-04-30T09:35:06.083+0300][8,140s][info ][gc] GC(132) Pause Young (Allocation Failure) 109M->75M(123M) 1,619ms
[2021-04-30T09:35:06.133+0300][8,189s][info ][gc] GC(133) Pause Young (Allocation Failure) 109M->76M(123M) 1,659ms
[2021-04-30T09:35:06.202+0300][8,259s][info ][gc] GC(134) Pause Young (Allocation Failure) 110M->76M(123M) 1,706ms
[2021-04-30T09:35:06.250+0300][8,307s][info ][gc] GC(135) Pause Young (Allocation Failure) 110M->77M(123M) 1,666ms
[2021-04-30T09:35:06.301+0300][8,358s][info ][gc] GC(136) Pause Young (Allocation Failure) 111M->77M(123M) 1,751ms
[2021-04-30T09:35:06.353+0300][8,410s][info ][gc] GC(137) Pause Young (Allocation Failure) 112M->78M(123M) 1,669ms
[2021-04-30T09:35:06.403+0300][8,460s][info ][gc] GC(138) Pause Young (Allocation Failure) 112M->79M(123M) 2,022ms
[2021-04-30T09:35:06.452+0300][8,508s][info ][gc] GC(139) Pause Young (Allocation Failure) 113M->79M(123M) 1,710ms
